Date,Event,Description
1990-08-02,Gulf War,Iraq invades Kuwait; supply fears.
1997-07-01,Asian Financial Crisis,Drop in oil demand from Asian markets.
2001-09-11,9/11 Attacks,Global economic slowdown/aviation fuel drop.
2003-03-20,Iraq Invasion,US-led invasion causes market uncertainty.
2008-07-11,2008 Financial Crisis,Prices peak then crash due to global recession.
2011-02-15,Arab Spring,Libyan civil war disruptions.
2014-11-27,OPEC No-Cut Policy,OPEC maintains production despite shale boom.
2016-11-30,OPEC+ Agreement,Russia and OPEC agree to joint cuts.
2020-03-08,Saudi-Russia Price War,Disagreement on cuts causes massive crash.
2020-04-20,COVID-19 Lockdowns,Global demand collapse; prices hit record lows.
2022-02-24,Russia-Ukraine War,Sanctions on Russia lead to price spikes.
